model,seed,test_size,test_count,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic C=0.05,0,0.1,31,0.35,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.4,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.35,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.3,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9915966386554622,0.9901360544217686
Logistic C=0.25,97,0.1,31,0.3,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9915966386554622,0.9910714285714284
Logistic C=0.05,0,0.1,31,0.45,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.45,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9915966386554622,0.9901360544217686
Logistic C=0.05,0,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9915966386554622,0.9901360544217686
Logistic C=0.25,97,0.1,31,0.4,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9915966386554622,0.9910714285714284
Logistic C=0.25,97,0.1,31,0.45,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9915966386554622,0.9910714285714284
Logistic C=0.05,27,0.1,31,0.55,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9873949579831932,0.9846415489272631
Logistic C=0.1,27,0.1,31,0.55,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9873949579831932,0.9846415489272631
Logistic C=0.25,0,0.1,31,0.35,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9873949579831932,0.9859693877551019
Logistic C=0.25,0,0.1,31,0.3,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9873949579831932,0.9859693877551019
Logistic C=0.05,27,0.1,31,0.6,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9873949579831932,0.9846415489272631
Logistic C=0.25,0,0.1,31,0.4,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9873949579831932,0.9859693877551019
Logistic C=0.25,38,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9873949579831932,0.9859693877551019
Logistic C=0.25,38,0.1,31,0.45,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9873949579831932,0.9859693877551019
Logistic C=0.25,0,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9873949579831932,0.9859693877551019
Logistic C=0.25,38,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9873949579831932,0.9859693877551019
Logistic C=0.1,39,0.1,31,0.4,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9831932773109243,0.984126984126984
Logistic C=0.1,39,0.1,31,0.35,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9831932773109243,0.984126984126984
Logistic C=0.1,39,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9831932773109243,0.984126984126984
Logistic C=0.25,46,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9831932773109243,0.9815476190476189
Logistic C=0.05,39,0.1,31,0.4,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9789915966386554,0.9812030075187967
Logistic C=0.1,66,0.1,31,0.6,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9789915966386554,0.9812030075187967
Logistic C=0.25,39,0.1,31,0.4,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9789915966386554,0.9812030075187967
Logistic C=0.25,39,0.1,31,0.35,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9789915966386554,0.9812030075187967
Logistic C=0.05,39,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9789915966386554,0.9812030075187967
Logistic C=0.05,47,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9789915966386554,0.9790249433106575
Logistic C=0.05,47,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9789915966386554,0.9790249433106575
Logistic C=0.1,38,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9789915966386554,0.9790249433106575
Logistic C=0.1,38,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.9789915966386554,0.9790249433106575
